"UMAP_1"	"UMAP_2"
"aMIDMSOE14RP13_80"	-0.374654445307035	1.68122669424489
"aMIDMSOE14RP13_82"	7.83630510841153	3.68238570656254
"aMIDMSOE14RP13_83"	-7.03134015526034	-3.10580495629833
"aMIDMSOE14RP13_84"	10.2306637433603	0.69517060484364
"aMIDMSOE14RP13_86"	8.64102884803556	2.96717854704335
"aMIDMSOE14RP13_87"	-9.19487431968905	-3.93354133401439
"aMIDMSOE14RP13_88"	-9.1387362810538	-4.57947639260814
"aMIDMSOE14RP13_90"	-6.82631543602206	-2.07297853265331
"aMIDMSOE14RP13_93"	-6.05189898933627	-4.99597362313793
"aMIDMSOE14RP13_94"	-6.20610907997348	-0.991723573546863
"aMIDMSOE14RP14_97"	-8.76968434776523	-3.18935111794994
"aMIDMSOE14RP14_99"	-5.93189433540561	-1.20726159844921
"aMIDMSOE14RP14_102"	-8.83490422691562	-4.56155208383129
"aMIDMSOE14RP14_103"	-6.69388249839999	-5.65140346322582
"aMIDMSOE14RP14_104"	-1.57083586181857	3.54332562651112
"aMIDMSOE14RP14_106"	-4.4828148218558	-3.84666684899852
"aMIDMSOE14RP14_107"	-6.16154817070224	-1.38963464532421
"aMIDMSOE14RP14_108"	-1.87746265854098	0.654153072495007
"aMIDMSOE14RP14_109"	6.0236959127023	-0.597929036956287
"aMIDMSOE14RP14_110"	9.2073387769296	0.198494875092053
"aMIDMSOE14RP14_111"	-1.48195889915683	0.808227979797864
"aMIDMSOE14RP14_112"	-0.449921164171476	2.09871777262166
"aMIDMSOE14RP14_113"	-6.72236255134799	-1.73350242410228
"aMIDMSOE14RP14_114"	-7.32268575157382	-5.46053222451732
"aMIDMSOE14RP14_115"	-5.60713866676547	-0.986039197783923
"aMIDMSOE14RP14_117"	-8.2990146013663	-4.59529308114574
"aMIDMSOE14RP14_119"	9.89149900947354	0.180847370285535
"aMIDMSOE14RP14_120"	-7.05637505974032	-5.36679557595775
"aMIDMSOE14RP14_122"	-5.08896258796908	-4.63193801675365
"aMIDMSOE14RP14_125"	8.15900322471402	3.41595604385807
"aMIDMSOE14RP14_127"	-1.55412081207492	0.568491661209607
"aMIDMSOE14RP14_128"	-6.32762101616122	-3.91514781747386
"aMIDMSOE14RP14_130"	-5.13839534248569	-3.03246930871532
"aMIDMSOE14RP14_131"	-2.06448701347568	0.503309690613293
"aMIDMSOE14RP14_132"	-6.75342658485629	-2.61795572076366
"aMIDMSOE14RP14_136"	-1.90828541244723	0.601155960220837
"aMIDMSOE14RP14_142"	-5.55756619896152	-4.1702823999934
"aMIDMSOE14RP14_143"	-8.70024350609042	-4.13396266732738
"aMIDMSOE14RP14_144"	-6.34559777702548	-3.58933738503978
"aMIDMSOE14RP14_145"	-5.61749413933017	-5.36229232583568
"aMIDMSOE14RP14_146"	-1.35957053627231	2.40744181837513
"aMIDMSOE14RP14_147"	8.0708002713754	-0.84028819833324
"aMIDMSOE14RP14_148"	5.48562952552579	-0.968506372313953
"aMIDMSOE14RP14_149"	-7.8427100511954	-2.68127445016429
"aMIDMSOE14RP14_150"	-4.30173066581943	-1.50474599633739
"aMIDMSOE14RP14_151"	-1.03503850425937	3.4949033495374
"aMIDMSOE14RP14_152"	10.0065626767709	-0.196232354979968
"aMIDMSOE14RP14_153"	-2.02268222297885	0.30109306539967
