"UMAP_1"	"UMAP_2"
"EUEE14DMSORP6_150"	-4.7231255839939	2.286360716814
"EUEE14DMSORP6_151"	3.17843138469506	-4.5679033041058
"EUEE14DMSORP6_152"	-2.89121163593482	4.09172389506717
"EUEE14DMSORP6_153"	3.35312306178857	-3.26204695702175
"EUEE14DMSORP6_154"	-2.49859226452064	4.79869697093387
"EUEE14DMSORP6_155"	2.58206056846429	-4.84605791569332
"EUEE14DMSORP6_156"	2.71616112483788	2.51835677623172
"EUEE14DMSORP6_157"	-3.6275821994419	1.05472729205509
"EUEE14DMSORP6_158"	-5.349819786417	0.9727301359119
"EUEE14DMSORP6_159"	4.80519878162194	-3.43843152523617
"EUEE14DMSORP6_160"	3.28391896976281	1.68093178271671
"EUEE14DMSORP6_161"	2.59864126933862	2.00172088145633
"EUEE14DMSORP6_162"	-3.00042618023109	-4.35482075214962
"EUEE14DMSORP6_163"	3.40765749706078	-2.61877050400357
"EUEE14DMSORP6_164"	3.02154170764733	-1.52560847402195
"EUEE14DMSORP6_165"	-2.8062771628971	4.28656194209476
"EUEE14DMSORP6_166"	3.85003244174767	-2.76725413799862
"EUEE14DMSORP6_167"	3.37725245250512	1.68583915233036
"EUEE14DMSORP6_168"	2.52724098457147	-0.624473953252834
"EUEE14DMSORP6_169"	2.90498995078851	-4.86706998348812
"EUEE14DMSORP6_170"	-3.75077450977515	3.54990766047855
"EUEE14DMSORP6_171"	-5.62229932056617	0.989125227922398
"EUEE14DMSORP6_172"	-2.2491437266941	4.38109586238285
"EUEE14DMSORP6_173"	2.66500114692498	-2.51376094818692
"EUEE14DMSORP6_174"	-2.50325453983497	4.82664153575321
"EUEE14DMSORP6_175"	-2.55943740116309	-4.66670706272702
"EUEE14DMSORP6_176"	2.4282700945263	-4.06517460346798
"EUEE14DMSORP6_177"	3.81804048312951	-3.93270471096615
"EUEE14DMSORP6_178"	-2.49029744373511	-0.130645179754299
"EUEE14DMSORP6_179"	1.92099403632928	0.471620416635472
"EUEE14DMSORP6_180"	-5.70004285083961	-2.59395267963986
"EUEE14DMSORP6_181"	-6.77702296482276	-0.754615807539028
"EUEE14DMSORP6_182"	-3.50150120960425	1.65570185183902
"EUEE14DMSORP6_183"	-5.26847422825049	0.490977263444859
"EUEE14DMSORP6_184"	-3.41047585712623	3.44405934810062
"EUEE14DMSORP6_185"	-0.631529219018927	-3.36612155438046
"EUEE14DMSORP6_186"	-4.67808402286719	0.904836392396885
"EUEE14DMSORP6_187"	-5.49547875629615	-1.78744872809033
"EUEE14DMSORP6_188"	4.3771294285183	-2.60749962330441
"EUEE14DMSORP6_189"	-5.71305907474708	0.622262930864293
"EUEE14DMSORP6_190"	-5.87433112369727	0.7927984952869
"EUEE14DMSORP6_191"	-5.5579553912754	-1.67402392030339
"EUEE14DMSORP6_192"	2.23354875339318	-4.39712741375546
"EUEE14DMSORP7_1"	-1.8968225787754	-3.70911076069455
"EUEE14DMSORP7_2"	1.69894903196145	-0.341175758844417
"EUEE14DMSORP7_4"	5.52419935954858	-4.2957937955914
"EUEE14DMSORP7_5"	-5.82551873432349	1.21675822734256
"EUEE14DMSORP7_6"	1.75145518077661	-0.390670263773006
"EUEE14DMSORP7_7"	-2.54354751812171	-4.57237222195248
"EUEE14DMSORP7_8"	1.0032276198839	4.03174636363407
"EUEE14DMSORP7_9"	-2.91411555515479	4.53088471888919
"EUEE14DMSORP7_10"	-6.54659522281837	-0.46599581242184
"EUEE14DMSORP7_11"	2.93994390262414	2.99523875712772
"EUEE14DMSORP7_12"	2.55349349273492	0.320546722406346
"EUEE14DMSORP7_13"	3.01761042369653	-2.05031433106045
"EUEE14DMSORP7_14"	2.79137777580071	-1.30613645595143
"EUEE14DMSORP7_15"	-2.54398930774879	-4.49372317791561
"EUEE14DMSORP7_16"	3.07029425395776	-3.3709616899548
"EUEE14DMSORP7_17"	-2.51924980388831	-0.392415905004543
"EUEE14DMSORP7_18"	2.65881132377435	-2.43782606125454
"EUEE14DMSORP7_19"	-3.95366681324195	2.06526801585575
"EUEE14DMSORP7_20"	2.82188092960168	-0.293561840063137
"EUEE14DMSORP7_21"	-2.44525039898109	-4.50063421726803
